contrast_id	ENSEMBL	SYMBOL	GENENAME	ENTREZID	log2fc_isst_flight_vs_gc	stat_isst_flight_vs_gc	pvalue_isst_flight_vs_gc	padj_isst_flight_vs_gc	group_mean_isst_gc	group_stdev_isst_gc	group_mean_isst_flight	group_stdev_isst_flight
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110711				0.2694017982135	0.176169333717577	0.860160912113769		1.74767439698589	1.24572273045875	1.93917160096745	1.28174172847809
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110712				-1.09559450011747	-0.771800120694248	0.44023282025088		1.8369336111456	0.89990918983402	1.41146707958479	0.99882329100166
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110715	Gm5131	acyl-Coenzyme A dehydrogenase, medium chain pseudogene	333331	-0.670175080667998	-0.195822175784977	0.844749352331774		1.26397794539172	0.587207392295527	1.09777310460432	0.309185704455539
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110720				-0.191479249368416	-0.162608751833826	0.870826495747415		3.04475469928081	2.36042352695568	2.81414031448185	1.79484657928577
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110721				-0.60360680382655	-0.999261319371796	0.317668118067592	0.89876937512282	3.56463487440819	2.04370121630286	2.7455926782257	1.30324335977804
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110722	Gm48716	predicted gene, 48716	118567722	-1.56290465512344	-0.372517731245003	0.709507412802356		2.53882085924073	4.86617882617807	1.49513187043842	1.5657444527248
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110724				0.195618092732612	0.108354391884114	0.913714578062582		1.18025947315672	0.380558748193987	1.32418089690029	0.743433232631667
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110726	Gm18101	ring finger protein 5 pseudogene	100416409	0.19742882701468	0.0905397688534752	0.927858292733628		1.27000587750863	0.615141560174931	1.40373032145663	0.851655191814609
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110727				-0.959291502112957	-0.253228762699657	0.800091441258368		1.28981853442953	0.671209758937104	1.0	0.0
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110729				0.275292986193835	0.349315707686443	0.726852307281836		2.81100043523094	2.53816714686064	3.12930628319855	2.26530050250532
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110730				-1.19742211429508	-0.781238017824512	0.434662517339516		1.44967564792717	0.848003117429826	1.10074004909075	0.318568006723946
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110735				-0.711420786275125	-1.09642924288395	0.272890972454213	0.875073696450429	5.86008064693829	5.97572324662733	3.87300368714156	1.9824146540966
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110737				0.0777425905159881	0.206503232247299	0.836397840185982	0.99321027243646	37.8391756222156	30.478108011113	39.8085860058255	26.1468124590454
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110738				0.240694013503713	0.791657250693615	0.428560555127313	0.940452234331191	48.8757433607824	25.6485032137614	57.636613588341	18.7035376876535
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110744				0.171423603704857	0.567793590386737	0.570175132597025	0.969656377747853	43.7559504411165	21.4879849093121	49.5382703662844	15.502037388463
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110747				0.399742689386224	0.477017611399792	0.633349580850473	0.978075989684351	2.15587619815653	1.79226417366221	2.53864109796976	1.54239208710815
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110750				-0.783610217583112	-0.23940360548148	0.810792634516464		1.89640057672976	1.95382490555685	1.5471960730594	1.45583806102289
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110751				0.271520493606056	0.951579714707526	0.34131017329689	0.909570434105651	117.537313515972	50.5825217250916	141.657171640985	50.1290288396968
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110752				0.46423501896041	0.826041539198165	0.408780528493632	0.934974808941186	4.30897124503729	3.00933747634728	5.37164764749171	3.2639754782797
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110755	BC049987	cDNA sequence BC049987	115487218	1.93483491081954	2.08487973341732	0.0370802187465433	0.455609971412005	9.96905440566226	18.3856921610649	35.3696654198085	87.0127703966737
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110757	Gm18228	zinc finger protein 791 pseudogene	100416750	-0.37196020672317	-0.394202040674771	0.693431879187088		2.15372226907657	1.97057187132476	1.80870245498228	1.24671663431885
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110758				-0.532747441059933	-0.993533090730946	0.320450232671977	0.899270827837238	8.06892863992789	4.95722871316776	5.83674462390566	5.07758810838327
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110759				0.201303894992452	0.0980668574274829	0.921879204579828		1.08956558432344	0.283231246425948	1.18036085215008	0.381925981097091
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110761				1.01359369220987	0.990081991348531	0.322134044859289		2.02279386337811	1.57040758689783	3.08630095970701	2.58511327966754
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110765				1.58574399187718	0.812085922384031	0.416742330405778		1.19927674671417	0.432360761785132	1.88351877552578	1.66645948873426
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110766				1.43181133291031	0.70854165192678	0.47860895585385		1.19900076703864	0.629295679962656	1.77996379340956	0.918220709442554
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110767				0.181211326234705	0.0692878303651373	0.944760512419164		1.11706632892926	0.370196236730916	1.4152358869714	0.886910718047783
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110768				-0.350758654944675	-0.643703165904476	0.519767936581123	0.958161217224973	4.85614259467079	5.37333171442909	3.87625768282291	1.72263075364476
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110772				-0.04445781656915	-0.158839647986717	0.873795210759627	0.994537711592688	23.6709418459398	12.39017291613	22.7358772414869	12.3802874705954
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110773				-0.038711876574545	-0.0546331220571853	0.956430750569193	0.998950103491778	3.77075318464194	2.42525720656893	3.70053477228315	1.74200898259964
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110774				-0.688926509171195	-0.709702299479947	0.477888765904994		2.38405711178814	1.64285869888824	1.91310314804976	1.39896496271075
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110779				-1.07494136645092	-2.08687454822779	0.0368994761360334	0.454526044560308	8.68413740835629	7.32838519085803	4.41682782926159	2.61777546394591
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110781				0.227753868686769	0.125889660136188	0.899819267573227		4.99532406114049	7.80145119858225	5.70896747283859	10.650865708743
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110790				0.360449486139364	0.731501715262177	0.464472757212096	0.948395322421942	13.1563888384152	12.5673445762449	16.4192838828057	12.8946761322761
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110791				-0.468000660087357	-1.27808452138162	0.201219626006129	0.826158071288194	96.1357121491385	67.4434557724206	69.6839308586707	48.2231784228155
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110795				0.309065014017207	0.438160464729828	0.661269965679174	0.98154713951488	3.83336608133837	2.73224086369543	4.38617266670145	4.77433027497145
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110802				0.617792143213319	0.253333063252013	0.800010848427838		1.06370505077625	0.201453058909614	1.43161220249	1.3648776257902
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110803	Gm20275	predicted gene, 20275	100504539	0.0829158476053266	0.247686465435298	0.804377004648452	0.991528444015507	16.5482048191747	8.33089888475834	17.2768981567765	5.86293956624176
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110814				1.26970534488575	0.430328441776176	0.666956740583717		1.10198028910941	0.322489990028201	1.57405902101008	1.46452298533332
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110815				-0.356347012118881	-0.828149726098532	0.407585711195334	0.934514093257656	16.2727574938023	8.74952276811888	12.7016674715835	7.79406734254481
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110816	Gm19178	amyloid beta (A4) precursor protein-binding, family B, member 1 pseudogene	100418389	0.42221760789207	0.285123716166835	0.775549360971178		1.50067987122937	1.26640548247966	1.74140525730771	1.0934639157201
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110817				0.396558928703709	1.056144749858	0.290902088244995	0.885614413915912	33.5544058447106	31.9708475380574	43.3668888423789	35.1958239249259
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110825	Gm8959	ribosomal protein L9 pseudogene	668070	0.0	0.0	1.0		1.0	0.0	1.0	0.0
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110827				1.01501363666457	0.312963598737988	0.754308317889496		2.96004992440885	4.30093939506867	4.97761120075043	10.5507185411512
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110830				0.122541818714702	0.380528782112392	0.703552935538463	0.984618171506329	176.422004653773	84.8770140316856	191.736867984323	112.589774950122
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110834				-0.214618148521483	-0.871035858464556	0.383734574195792	0.928047785171051	125.575636240137	39.4956041453825	108.168969384892	34.4287017631905
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110835				-1.3686455922314	-1.573200718903	0.115672348920397		3.90146455241431	2.49907555176342	2.19015871770266	2.10766875396242
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110836				1.10330291210144	0.668681510928291	0.503698664168871		1.08428388884146	0.266529058795456	1.51812374636838	1.06882310291508
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110838				1.00623445346445	0.992460583713669	0.320972898067924		2.43331454187988	1.98136722923459	4.07549600112448	6.96936314748225
